id,gender,age in 1st year,age at graduation,ethnicity,GPA 1st Year,GPA 2nd Year,GPA 3rd Year,GPA 4th Year,GPA - 5th Year,Job Placement - 3rd Year,Job Placement - 4th Year,Job Placement - 5th Year,Year of Graduation
00323d0b-b292-5d20-8386-9fe1e291b2c9,M,18,21,HISPANIC LATINO AMER,3.34,3.34,3.34,3.34,,,Yes,,4th Year
0032e465-77ff-57fe-ac92-96d90201213f,M,18,21,CAUCASN,3.51,3.31,3.31,3.51,,,,,4th Year
00398cf0-cfc2-5aff-956a-a7c290202b79,M,18,21,CAUCASN,3.66,3.66,3.66,3.66,,,Yes,,4th Year
0226b78f-9016-5408-87f3-7bd9144f6562,F,18,21,HISPANIC LATINO AMER,3.78,3.58,3.58,3.48,,,Yes,,4th Year
023f284c-211e-50eb-a020-77f19b1e201b,F,18,21,ASIAN,3.96,3.85,3.85,3.94,,,,,4th Year
025d43f4-3f92-5eb3-acc8-6a35b42dabc3,F,18,21,AMER-IND,3.56,3.46,3.46,3.56,,,,,4th Year
029126b8-bd99-55b0-80eb-ac456175519e,M,18,21,CAUCASN,3.46,3.36,3.36,3.46,,,Yes,,4th Year
02b0b360-2b44-53e8-8e98-91f6c39502e2,M,18,21,ASIAN,3.17,3.17,3.17,3.17,,,,,4th Year
02b7b8e5-2380-5b3f-b5dc-b5e7a30e2ea7,F,18,21,ASIAN,3.52,3.39,3.39,3.52,,,,,4th Year
034c0079-1c20-514b-8fe7-39f165e2fadc,M,18,21,CAUCASN,3.31,3.31,3.31,3.31,,,,,4th Year
0381ff9a-322e-5fdd-a8c5-1ba4e217fee1,M,18,21,HISPANIC LATINO AMER,2.8,2.78,2.78,3.26,,,,,4th Year
03b2fdc6-7c8d-5047-a459-2c7eb0020d88,M,18,21,CAUCASN,2.77,2.77,2.77,3.06,,,,,4th Year
047b8d7e-8bca-5049-870e-0b98f94635ac,M,18,21,CAUCASN,3.78,3.59,3.59,3.49,,,Yes,,4th Year
04c4fcbd-c635-5028-a117-cb0bcda973c8,M,18,21,ASIAN,3.31,3.31,3.31,3.31,,,,,4th Year
053b9f65-9a39-5840-ba8c-00c2efdc2bf5,M,18,21,HISPANIC LATINO AMER,3.35,3.06,3.16,3.35,,,,,4th Year
061632db-7bf8-50f7-8300-779cb2a088bf,F,18,21,CAUCASN,3.49,3.49,3.49,3.49,,,Yes,,4th Year
06398c85-efbe-5165-b629-259044933d89,M,18,21,ASIAN,2.46,2.59,2.59,3.03,,,,,4th Year
063f6745-816d-53e7-934c-d345917ef209,M,18,21,CAUCASN,2.91,2.91,2.91,3.27,,,Yes,,4th Year
0728a52b-6eaa-5507-98c2-a21c2449039e,M,18,21,HISPANIC LATINO AMER,3.11,3.11,3.01,3.11,,,,,4th Year
073fec7c-9509-5a58-ab41-98df6fb163ef,M,18,21,HISPANIC LATINO AMER,3.57,3.56,3.56,3.57,,,,,4th Year
